channel_name,total_subscribers,total_views,total_videos,Average_view,units_sold_per_video,revenue_per_video,net_profit,net_profit_by_subscribers,netprofit_by_total_vidoes
NoCopyrightSounds,33600000,11011230785,1591,6920950.0,138419.0,276838.0,266838.0,1334000.0,-9936.36
DanTDM,28600000,19775951435,3705,5337639.0,106752.78,213505.56,203505.56,1134000.0,-9851.8
KSI,24100000,6015064768,1252,4804365.0,96087.3,192174.6,182174.6,954000.0,-9949.92
Mister Max,24400000,15973601417,1136,14061269.0,281225.38,562450.76,552450.76,966000.0,-9954.56
Jelly,23500000,15032515044,6331,2374430.0,47488.6,94977.2,84977.2,930000.0,-9746.76
Miss Katy,24500000,15462895287,1079,14330765.0,286615.3,573230.6,563230.6,970000.0,-9956.84
Dua Lipa,23300000,12792401018,222,57623428.0,1152468.56,2304937.12,2294937.12,922000.0,-9991.12
Dan Rhodes,26500000,18558843557,1664,11153151.0,223063.02000000002,446126.04000000004,436126.04000000004,1050000.0,-9933.44
Ali-A,18900000,6454576924,4303,1500018.0,30000.36,60000.72,50000.72,746000.0,-9827.88
Gaby and Alex,17200000,8599791929,367,23432676.0,468653.52,937307.04,927307.04,678000.0,-9985.32
Sidemen,21000000,6051069699,349,17338309.0,346766.18,693532.36,683532.36,830000.0,-9986.04
Queen Official,17500000,11172793107,1137,9826555.0,196531.1,393062.2,383062.2,690000.0,-9954.52
Little Mix,16300000,7760494530,278,27915448.0,558308.96,1116617.92,1106617.92,642000.0,-9988.88
JJ Olatunji,16300000,4235096703,1339,3162880.0,63257.6,126515.2,116515.2,642000.0,-9946.44
F2Freestylers - Ultimate Soccer Skills Channel,14100000,3338277500,779,4285337.0,85706.74,171413.48,161413.48,554000.0,-9968.84
BBC News,15800000,5219037615,21145,246821.0,4936.42,9872.84,-127.15999999999985,622000.0,-9154.2
BBC,14100000,10345796779,18714,552837.0,11056.74,22113.48,12113.48,554000.0,-9251.44
Awakening Music,14000000,5895370212,923,6387183.0,127743.66,255487.32,245487.32,550000.0,-9963.08
DisneyChannelUK,12900000,13239805858,4517,2931106.0,58622.12,117244.24,107244.24,506000.0,-9819.32
colinfurze,12900000,1737850096,397,4377456.0,87549.12,175098.24,165098.24,506000.0,-9984.12
Mrwhosetheboss,18300000,5224911221,1673,3123079.0,62461.58,124923.16,114923.16,722000.0,-9933.08
TommyInnit,14800000,2349069050,463,5073583.0,101471.66,202943.32,192943.32,582000.0,-9981.48
Morgz,12800000,3527357846,846,4169454.0,83389.08,166778.16,156778.16,502000.0,-9966.16
Tiana,11400000,3241315094,1034,3134734.0,62694.68,125389.36,115389.36,446000.0,-9958.64
Disney Kids,11900000,12280388976,2871,4277391.0,85547.82,171095.64,161095.64,466000.0,-9885.16
Emily Tube,11100000,3827432341,734,5214485.0,104289.7,208579.4,198579.4,434000.0,-9970.64
Slogo,11600000,8851893106,6270,1411785.0,28235.7,56471.4,46471.4,454000.0,-9749.2
Jessie J,10600000,5738170096,96,59772605.0,1195452.1,2390904.2,2380904.2,414000.0,-9996.16
Sing King,11800000,7678054660,4272,1797297.0,35945.94,71891.88,61891.880000000005,462000.0,-9829.12
BBC News عربي,11500000,4858222538,40179,120914.0,2418.28,4836.56,-5163.44,450000.0,-8392.84
Classic Mr Bean,10400000,3389019245,1680,2017273.0,40345.46,80690.92,70690.92,406000.0,-9932.8
Syndicate,9620000,2133109238,3530,604280.0,12085.6,24171.2,14171.2,374800.0,-9858.8
Gorillaz,10800000,5694818370,363,15688205.0,313764.10000000003,627528.2000000001,617528.2000000001,422000.0,-9985.48
Woody & Kleiny,15400000,14098827274,1086,12982346.0,259646.92,519293.84,509293.84,606000.0,-9956.56
Jungle Beat,11400000,5720253944,789,7250005.0,145000.1,290000.2,280000.2,446000.0,-9968.44
Julius Dein,9270000,2451490753,385,6367508.0,127350.16,254700.32,244700.32,360800.0,-9984.6
The X Factor UK,9170000,6991097254,5494,1272497.0,25449.940000000002,50899.880000000005,40899.880000000005,356800.0,-9780.24
English with Lucy,10800000,490426319,400,1226066.0,24521.32,49042.64,39042.64,422000.0,-9984.0
Shaun the Sheep Official,11800000,6270218465,834,7518248.0,150364.96,300729.92,290729.92,462000.0,-9966.64
Cartoons for Kids,8980000,3389711424,2470,1372353.0,27447.06,54894.12,44894.12,349200.0,-9901.2
Mumbo Jumbo,9360000,3039992057,2070,1468595.0,29371.9,58743.8,48743.8,364400.0,-9917.2
Top Gear,8900000,3965481581,1849,2144663.0,42893.26,85786.52,75786.52,346000.0,-9926.04
Moonbug Kids - Kids Learning Videos,10900000,4173418733,1430,2918475.0,58369.5,116739.0,106739.0,426000.0,-9942.8
BBC Radio 1,8240000,3704564707,4852,763513.0,15270.26,30540.52,20540.52,319600.0,-9805.92
Liverpool FC,9700000,2681894913,6316,424619.0,8492.380000000001,16984.760000000002,6984.760000000002,378000.0,-9747.36
Grian,8490000,2435603159,751,3243147.0,64862.94,129725.88,119725.88,329600.0,-9969.96
Daz Games,8530000,2672413657,1557,1716386.0,34327.72,68655.44,58655.44,331200.0,-9937.72
Vikkstar123,7610000,2158203758,5038,428385.0,8567.7,17135.4,7135.4000000000015,294400.0,-9798.48
PlayToys,7790000,3050738424,1030,2961882.0,59237.64,118475.28,108475.28,301600.0,-9958.8
carwow,9110000,3805071140,2606,1460119.0,29202.38,58404.76,48404.76,354400.0,-9895.76
Jeremy Lynch,11500000,6179524394,752,8217453.0,164349.06,328698.12,318698.12,450000.0,-9969.92
TomSka,7280000,2075452515,177,11725720.0,234514.4,469028.8,459028.8,281200.0,-9992.92
The Yogscast,7080000,4564618612,6435,709342.0,14186.84,28373.68,18373.68,273200.0,-9742.6
LDShadowLady,7150000,3418445524,1072,3188848.0,63776.96,127553.92,117553.92,276000.0,-9957.12
The Beatles,8200000,6813253792,311,21907568.0,438151.36,876302.72,866302.72,318000.0,-9987.56
Passenger,7350000,4521686470,387,11683944.0,233678.88,467357.76,457357.76,284000.0,-9984.52
MessYourself,6870000,2565660279,1068,2402304.0,48046.08,96092.16,86092.16,264800.0,-9957.28
MoreSidemen,8320000,4213271677,1004,4196486.0,83929.72,167859.44,157859.44,322800.0,-9959.84
Boomerang UK,7270000,3585116797,2292,1564187.0,31283.74,62567.48,52567.48,280800.0,-9908.32
James Arthur,7360000,4365336668,196,22272126.0,445442.52,890885.04,880885.04,284400.0,-9992.16
ARPO The Robot,7650000,3223103910,1315,2451030.0,49020.6,98041.2,88041.2,296000.0,-9947.4
24 News HD,7710000,3392912536,165103,20550.0,411.0,822.0,-9178.0,298400.0,-3395.88
RubyandBonnie,8840000,5084401378,616,8253898.0,165077.96,330155.92,320155.92,343600.0,-9975.36
